"participant","trial_index","screenposition","stimulus","trialtype","classifyenc","rt","response","responsecorrect","responsecorrect_side","screenlocation","stimnum","acc","rtResidual","rtResidualC","rt_rec","trialno_rec","ratingConfidence","acc_rec","memoryHits.hc"
"13",1,"left","SHINEd_Bandage_Adhesive.jpg","incongruent","m",615.14864,"j","j","right","(148, 362)",107,1,589.364441890073,-55.6428398809553,"  814.22",287,4,1,1
"13",2,"left","SHINEd_Cauliflower.jpg","congruent","n",865.016124,"f","f","left","(148, 362)",291,1,839.453935160031,194.446653389003," 1763.78",220,3,1,1
"13",3,"right","SHINEd_Bag_Camera.jpg","congruent","m",772.85183,"j","j","right","(862, 362)",216,1,747.511650429989,102.504368658961," 2922.53",221,2,0,0
"13",4,"left","SHINEd_SpongeScrubbing.jpg","incongruent","m",NA,"miss","j","right","(148, 362)",139,0,NA,NA," 1157.63",97,3,1,1
"13",5,"left","SHINEd_dates_fresh.jpg","congruent","n",933.17053,"f","f","left","(148, 362)",319,1,908.274368969904,263.267087198876," 1590.78",410,4,1,1
"13",6,"right","SHINEd_blackberry.jpg","incongruent","n",673.688191,"j","f","left","(862, 362)",280,0,649.014039239861,4.00675746883308," 1327.23",296,2,1,NA
"13",7,"left","SHINEd_organutan.jpg","congruent","n",NA,"miss","f","left","(148, 362)",343,0,NA,NA," 1223.77",54,2,1,NA
"13",8,"left","SHINEd_PaperCutter.jpg","incongruent","m",944.484299,"j","j","right","(148, 362)",31,1,920.254165779776,275.246884008748," 1366.25",262,3,0,0
"13",9,"left","SHINEd_turkey.jpg","congruent","n",812.279964,"f","f","left","(148, 362)",391,1,788.271840049734,143.264558278706," 1383.99",419,3,1,1
"13",10,"left","SHINEd_Snowboard.jpg","incongruent","m",671.704808,"j","j","right","(148, 362)",23,1,647.918693319691,2.91141154866317," 2198.65",354,3,0,0
"13",11,"left","SHINEd_bear.jpg","congruent","n",546.846342,"f","f","left","(148, 362)",271,1,523.282236589649,-121.725045181379," 1718.84",56,3,1,1
"13",12,"left","SHINEd_Cable_AudioSplitter.jpg","incongruent","m",751.278176,"j","j","right","(148, 362)",91,1,727.936079859606,82.9287980885783,"  934.51",285,3,0,0
"13",13,"right","SHINEd_Boombox.jpg","congruent","m",650.308013,"j","j","right","(862, 362)",92,1,627.187926129564,-17.8193556414643," 1078.25",170,3,1,1
"13",14,"left","SHINEd_Playard.jpg","incongruent","m",765.751928,"f","j","right","(148, 362)",59,0,742.853850399521,97.8465686284933," 1846.47",414,3,0,0
"13",15,"left","SHINEd_Hedgehog.jpg","congruent","n",754.494923,"f","f","left","(148, 362)",243,1,731.818854669479,86.8115728984508," 1792.04",145,4,1,1
"13",16,"left","SHINEd_Car_Sedan.jpg","incongruent","m",654.107446,"j","j","right","(148, 362)",183,1,631.653386939436,-13.3538948315917," 2335.75",438,3,1,1
"13",17,"right","SHINEd_Bus_DoubleDecker.jpg","congruent","m",624.62673,"j","j","right","(862, 362)",184,1,602.394680209394,-42.6126015616342,"  838.04",390,3,1,1
"13",18,"right","SHINEd_alpaca_fo.jpg","incongruent","n",596.29009,"f","f","left","(862, 362)",400,1,574.280049479351,-70.7272322916767," 1100.41",372,3,1,1
"13",19,"left","SHINEd_Dress_Blue.jpg","incongruent","m",728.32779,"j","j","right","(148, 362)",3,1,706.539758749309,61.532476978281," 1100.04",367,4,1,1
"13",20,"right","SHINEd_Fan_Ceiling.jpg","congruent","m",NA,"miss","j","right","(862, 362)",48,0,NA,NA," 1669.97",362,3,1,1
"13",21,"left","SHINEd_Dresser.jpg","incongruent","m",655.211224,"j","j","right","(148, 362)",203,1,633.867211289224,-11.140070481804," 2150.94",258,4,1,1
"13",22,"left","SHINEd_WateringCan_PlasticDarkGreen.jpg","incongruent","m",634.065633,"j","j","right","(148, 362)",215,1,612.943629559182,-32.0636522118465," 1955.97",363,4,1,1
"13",23,"left","SHINEd_edamame.jpg","congruent","n",612.964279,"f","f","left","(148, 362)",303,1,592.064284829139,-52.942996941889," 1345.86",112,3,1,1
"13",24,"left","SHINEd_Binoculars.jpg","incongruent","m",674.912673,"j","j","right","(148, 362)",199,1,654.234688099097,9.22740632806857," 1036.83",434,4,1,1
"13",25,"right","SHINEd_Card_TwoSpade.jpg","congruent","m",NA,"miss","j","right","(862, 362)",88,0,NA,NA," 2275.98",218,3,1,1
"13",26,"left","SHINEd_Basket_Plastic.jpg","incongruent","m",616.577502,"j","j","right","(148, 362)",211,1,596.343535639012,-48.6637461320165,"  856.46",358,4,1,1
"13",27,"right","SHINEd_CinderBlock.jpg","congruent","m",771.791124,"j","j","right","(862, 362)",108,1,751.779166908969,106.771885137941,"  934.70",260,4,1,1
"13",28,"right","SHINEd_GasStation.jpg","congruent","m",NA,"miss","j","right","(862, 362)",168,0,NA,NA," 2684.46",375,2,0,0
"13",29,"left","SHINEd_Shoes_Pumps.jpg","incongruent","m",NA,"miss","j","right","(148, 362)",151,0,NA,NA," 2735.71",8,4,1,1
"13",30,"right","SHINEd_Oneholepunch.jpg","congruent","m",583.224594,"j","j","right","(862, 362)",76,1,563.878664718842,-81.1286170521863,"  853.74",400,4,1,1
"13",31,"left","SHINEd_whistle.jpg","incongruent","m",538.396544,"j","j","right","(148, 362)",79,1,519.272623988799,-125.734657782229," 2812.52",185,2,0,0
"13",32,"left","SHINEd_Box_Staples.jpg","incongruent","m",654.675036,"j","j","right","(148, 362)",67,1,635.773125258757,-9.23415651227132," 1144.30",154,4,1,1
"13",33,"left","SHINEd_Panda.jpg","congruent","n",561.124777,"f","f","left","(148, 362)",251,1,542.444875528714,-102.562406242314,"  996.48",397,4,1,1
"13",34,"right","SHINEd_raspberry.jpg","incongruent","n",668.860691,"f","f","left","(862, 362)",456,1,650.402798798672,5.39551702764372," 2165.92",99,3,1,1
"13",35,"right","SHINEd_Cologne.jpg","congruent","m",601.403752,"j","j","right","(862, 362)",116,1,583.167869068629,-61.8394127023987,"  739.73",391,3,1,1
"13",36,"right","SHINEd_tapir copy.jpg","incongruent","n",747.190723,"f","f","left","(862, 362)",408,1,729.176849338587,84.1695675675588,"  829.99",230,3,1,1
"13",37,"right","SHINEd_Hammer.jpg","congruent","m",790.502256,"j","j","right","(862, 362)",36,1,772.710391608544,127.703109837516," 1056.53",343,4,1,1
"13",38,"left","SHINEd_CapGraduation.jpg","incongruent","m",795.328012,"j","j","right","(148, 362)",187,1,777.758156878502,132.750875107474,"  905.97",94,4,1,1
"13",39,"left","SHINEd_Potato.jpg","congruent","n",406.120732,"j","f","left","(148, 362)",423,0,388.772886148459,-256.234395622569,"  877.39",401,4,1,1
"13",40,"right","SHINEd_blueberries.jpg","incongruent","n",649.723372,"f","f","left","(862, 362)",232,1,632.597535418417,-12.4097463526111," 2317.23",77,3,1,1
"13",41,"left","SHINEd_pistachios-.jpg","congruent","n",549.532929,"f","f","left","(148, 362)",411,1,532.629101688374,-112.378180082654,"  847.83",277,3,1,1
"13",42,"right","SHINEd_Pepper_Green.jpg","incongruent","n",625.195159,"f","f","left","(862, 362)",372,1,608.513340958332,-36.4939408126961,"  731.70",340,2,1,NA
"13",43,"left","SHINEd_sanddollar.jpg","congruent","n",677.266502,"f","f","left","(148, 362)",295,1,660.806693228289,15.7994114572614," 1304.39",194,4,1,1
"13",44,"left","SHINEd_Cup_Bathroom.jpg","incongruent","m",544.848365,"j","j","right","(148, 362)",51,1,528.610565498247,-116.396716272781," 1160.82",326,2,0,0
"13",45,"right","SHINEd_Ginger.jpg","incongruent","n",899.959757,"f","f","left","(862, 362)",236,1,883.943966768205,238.936684997176," 1848.27",365,4,1,1
"13",46,"right","SHINEd_DoubleBass.jpg","congruent","m",711.188185,"j","j","right","(862, 362)",8,1,695.394404038162,50.387122267134," 4235.69",210,3,1,1
"13",47,"right","SHINEd_Hazelnut.jpg","incongruent","n",714.923997,"f","f","left","(862, 362)",252,1,699.35222530812,54.3449435370915," 2044.57",278,4,1,1
"13",48,"right","SHINEd_ant.jpg","incongruent","n",822.135279,"j","f","left","(862, 362)",328,0,806.785516578077,161.778234807049,"  973.92",344,4,1,1
"13",49,"right","SHINEd_Golf_Club.jpg","congruent","m",NA,"miss","j","right","(862, 362)",132,0,NA,NA," 1352.76",180,3,0,0
"13",50,"right","SHINEd_Lobster.jpg","incongruent","n",616.218036,"f","f","left","(862, 362)",288,1,601.312292117992,-43.6949896530359,"  767.39",325,3,1,1
"13",51,"left","SHINEd_Shark_GreatWhite.jpg","congruent","n",667.094568,"f","f","left","(148, 362)",287,1,652.41083338795,7.40355161692161," 2093.29",18,4,1,1
"13",52,"right","SHINEd_HedgeShears.jpg","congruent","m",663.107957,"j","j","right","(862, 362)",28,1,648.646231657907,3.63894988687921,"  909.22",60,4,1,1
"13",53,"left","SHINEd_LightBulb_White.jpg","incongruent","m",865.636061,"j","j","right","(148, 362)",47,1,851.396344927865,206.389063156837," 1000.02",126,4,1,1
"13",54,"right","SHINEd_BookShelf.jpg","congruent","m",588.517589,"j","j","right","(862, 362)",204,1,574.499882197822,-70.5073995732058,"  942.54",379,2,1,NA
"13",55,"right","SHINEd_SpiderWeb.jpg","incongruent","n",744.195231,"f","f","left","(862, 362)",348,1,730.39953346778,85.3922516967518," 1959.79",23,4,1,1
"13",56,"right","SHINEd_Hand.jpg","incongruent","n",925.222302,"j","f","left","(862, 362)",284,0,911.648613737737,266.641331966709,"  939.50",387,2,1,NA
"13",57,"right","SHINEd_ScannerShoplifting.jpg","congruent","m",NA,"miss","j","right","(862, 362)",100,0,NA,NA," 4607.64",127,3,0,0
"13",58,"right","SHINEd_eggs.jpg","incongruent","n",594.733603,"f","f","left","(862, 362)",296,1,581.603933277652,-63.4033484933757," 1486.33",291,3,0,0
"13",59,"left","SHINEd_clementine.jpg","congruent","n",606.777961,"f","f","left","(148, 362)",359,1,593.87030054761,-51.1369812234182,"  922.86",81,4,1,1
