"participant","trial_index","screenposition","stimulus","trialtype","classifyenc","rt","response","responsecorrect","responsecorrect_side","screenlocation","stimnum","acc","rtResidual","rtResidualC","rt_rec","trialno_rec","ratingConfidence","acc_rec","memoryHits.hc"
"pilot3_5",3,"right","SHINEd_Bag_Camera.jpg","congruent","m",578.114004,"j","j","right","(862, 362)",216,1,542.813580185177,-21.0564079551743,NA,NA,NA,NA,NA
"pilot3_5",73,"right","SHINEd_Ball_Football.jpg","congruent","m",545.087821,"j","j","right","(862, 362)",128,1,531.949098234841,-31.9208899055094,NA,NA,NA,NA,NA
"pilot3_5",130,"right","SHINEd_Banana.jpg","incongruent","n",711.596343,"f","f","left","(862, 362)",376,1,716.503576803854,152.633588663504,NA,NA,NA,NA,NA
"pilot3_5",1,"left","SHINEd_Bandage_Adhesive.jpg","incongruent","m",922.233954,"j","j","right","(148, 362)",107,1,886.300338726608,322.430350586258,NA,NA,NA,NA,NA
"pilot3_5",224,"left","SHINEd_Barbecue_Gas.jpg","incongruent","m",486.602329,"j","j","right","(148, 362)",159,1,521.269561356262,-42.6004267840892,NA,NA,NA,NA,NA
"pilot3_5",26,"left","SHINEd_Basket_Plastic.jpg","incongruent","m",509.334882,"j","j","right","(148, 362)",211,1,481.316159958638,-82.553828181713,NA,NA,NA,NA,NA
"pilot3_5",135,"left","SHINEd_Bat_Baseball.jpg","incongruent","m",441.589372,"j","j","right","(148, 362)",127,1,448.079584450259,-115.790403690092,NA,NA,NA,NA,NA
"pilot3_5",215,"left","SHINEd_Bed_Hospital.jpg","incongruent","m",550.023459,"j","j","right","(148, 362)",207,1,581.841329792733,17.9713416523824,NA,NA,NA,NA,NA
"pilot3_5",101,"left","SHINEd_Belt.jpg","incongruent","m",432.978612,"j","j","right","(148, 362)",195,1,428.704569654707,-135.165418485643,NA,NA,NA,NA,NA
"pilot3_5",89,"right","SHINEd_Bib.jpg","congruent","m",586.273547,"j","j","right","(862, 362)",136,1,578.200355903336,14.3303677629855,NA,NA,NA,NA,NA
"pilot3_5",24,"left","SHINEd_Binoculars.jpg","incongruent","m",557.223584,"j","j","right","(148, 362)",199,1,528.571670500076,-35.2983176402749,NA,NA,NA,NA,NA
"pilot3_5",177,"right","SHINEd_Bird_CanadianGoose.jpg","incongruent","n",392.500296,"f","f","left","(862, 362)",388,1,412.287529080058,-151.582459060293,NA,NA,NA,NA,NA
"pilot3_5",211,"right","SHINEd_Blackboard.jpg","congruent","m",688.411557,"j","j","right","(862, 362)",72,1,718.96304487561,155.093056735259,NA,NA,NA,NA,NA
"pilot3_5",61,"right","SHINEd_Boar.jpg","incongruent","n",477.358992,"f","f","left","(862, 362)",264,1,460.42112048347,-103.44886765688,NA,NA,NA,NA,NA
"pilot3_5",223,"right","SHINEd_Bolt.jpg","congruent","m",482.833132,"j","j","right","(862, 362)",32,1,517.183768626981,-46.6862195133702,NA,NA,NA,NA,NA
"pilot3_5",54,"right","SHINEd_BookShelf.jpg","congruent","m",609.643786,"j","j","right","(862, 362)",204,1,590.489744378504,26.619756238153,NA,NA,NA,NA,NA
"pilot3_5",13,"right","SHINEd_Boombox.jpg","congruent","m",579.933824,"j","j","right","(862, 362)",92,1,547.799357477986,-16.0706306623651,NA,NA,NA,NA,NA
"pilot3_5",94,"right","SHINEd_Boots_KneeHigh.jpg","congruent","m",917.308072,"j","j","right","(862, 362)",152,1,910.817859549741,346.94787140939,NA,NA,NA,NA,NA
"pilot3_5",109,"right","SHINEd_Bottle_Bleach.jpg","congruent","m",589.717304,"j","j","right","(862, 362)",212,1,587.976027488955,24.1060393486041,NA,NA,NA,NA,NA
"pilot3_5",188,"left","SHINEd_Bowtie.jpg","incongruent","m",567.354723,"j","j","right","(148, 362)",191,1,590.624509102148,26.7545209617974,NA,NA,NA,NA,NA
"pilot3_5",157,"left","SHINEd_Box_GiftTopView.jpg","incongruent","m",625.616956,"j","j","right","(148, 362)",219,1,639.072274494439,75.2022863540886,NA,NA,NA,NA,NA
"pilot3_5",144,"right","SHINEd_Box_Package.jpg","congruent","m",417.399182,"j","j","right","(862, 362)",220,1,426.738756013787,-137.131232126564,NA,NA,NA,NA,NA
"pilot3_5",32,"left","SHINEd_Box_Staples.jpg","incongruent","m",706.172357,"j","j","right","(148, 362)",67,1,680.053209334323,116.183221193973,NA,NA,NA,NA,NA
"pilot3_5",139,"right","SHINEd_Buffalo.jpg","incongruent","n",511.536967,"f","f","left","(862, 362)",432,1,519.293562367383,-44.5764257729681,NA,NA,NA,NA,NA
"pilot3_5",17,"right","SHINEd_Bus_DoubleDecker.jpg","congruent","m",620.316688,"j","j","right","(862, 362)",184,1,589.44860439511,25.5786162547586,NA,NA,NA,NA,NA
"pilot3_5",146,"left","SHINEd_Bus_School.jpg","incongruent","m",488.543477,"j","j","right","(148, 362)",171,1,498.516242472349,-65.3537456680016,NA,NA,NA,NA,NA
"pilot3_5",131,"right","SHINEd_Button.jpg","congruent","m",531.11804,"j","j","right","(862, 362)",4,1,536.341869533135,-27.5281186072156,NA,NA,NA,NA,NA
"pilot3_5",112,"left","SHINEd_CDstack.jpg","incongruent","m",534.980355,"j","j","right","(148, 362)",15,1,534.188865676798,-29.6811224635531,NA,NA,NA,NA,NA
"pilot3_5",12,"left","SHINEd_Cable_AudioSplitter.jpg","incongruent","m",636.624752,"j","j","right","(148, 362)",91,1,604.173689748705,40.303701608354,NA,NA,NA,NA,NA
"pilot3_5",216,"left","SHINEd_Cage_Bird.jpg","incongruent","m",561.544064,"j","j","right","(148, 362)",123,1,593.678530522014,29.8085423816634,NA,NA,NA,NA,NA
"pilot3_5",117,"right","SHINEd_Camel_Bactrian.jpg","incongruent","n",457.481026,"f","f","left","(862, 362)",344,1,458.272515323202,-105.597472817149,NA,NA,NA,NA,NA
"pilot3_5",99,"right","SHINEd_CanOpener.jpg","congruent","m",511.858125,"j","j","right","(862, 362)",160,1,506.950891196146,-56.9190969442053,NA,NA,NA,NA,NA
"pilot3_5",74,"left","SHINEd_Candleholder_LampShaped.jpg","incongruent","m",629.607212,"j","j","right","(148, 362)",111,1,616.785084964122,52.9150968237715,NA,NA,NA,NA,NA
"pilot3_5",38,"left","SHINEd_CapGraduation.jpg","incongruent","m",704.274945,"j","j","right","(148, 362)",187,1,680.055371710009,116.185383569658,NA,NA,NA,NA,NA
"pilot3_5",16,"left","SHINEd_Car_Sedan.jpg","incongruent","m",712.455991,"j","j","right","(148, 362)",183,1,681.271311665829,117.401323525478,NA,NA,NA,NA,NA
"pilot3_5",25,"right","SHINEd_Card_TwoSpade.jpg","congruent","m",633.199468,"j","j","right","(862, 362)",88,1,604.864150229357,40.9941620890061,NA,NA,NA,NA,NA
"pilot3_5",149,"left","SHINEd_Caribou.jpg","congruent","n",405.240036,"f","f","left","(148, 362)",435,1,416.162588660192,-147.707399480159,NA,NA,NA,NA,NA
"pilot3_5",80,"right","SHINEd_Cassette_Audio.jpg","congruent","m",449.316994,"j","j","right","(862, 362)",148,1,438.394441339808,-125.475546800543,NA,NA,NA,NA,NA
"pilot3_5",2,"left","SHINEd_Cauliflower.jpg","congruent","n",630.159967,"f","f","left","(148, 362)",291,1,594.542947455895,30.6729593155445,NA,NA,NA,NA,NA
"pilot3_5",209,"right","SHINEd_Celery.jpg","incongruent","n",514.108453,"f","f","left","(862, 362)",272,1,544.026749417048,-19.8432387233031,NA,NA,NA,NA,NA
"pilot3_5",114,"left","SHINEd_Chimpanzee.jpg","congruent","n",598.530907,"f","f","left","(148, 362)",255,1,598.37260913536,34.5026209950086,NA,NA,NA,NA,NA
"pilot3_5",27,"right","SHINEd_CinderBlock.jpg","congruent","m",825.734565,"j","j","right","(862, 362)",108,1,798.032438687919,234.162450547568,NA,NA,NA,NA,NA
"pilot3_5",166,"right","SHINEd_Clam.jpg","incongruent","n",592.638284,"f","f","left","(862, 362)",340,1,608.942964057968,45.0729759176169,NA,NA,NA,NA,NA
