"participant","trial_index","screenposition","stimulus","trialtype","classifyenc","rt","response","responsecorrect","responsecorrect_side","screenlocation","stimnum","acc","rtResidual","rtResidualC","rt_rec","trialno_rec","ratingConfidence","acc_rec","memoryHits.hc"
"pilot_12",116,"left","SHINEd_Ball_Basketball.jpg","congruent","m",481.383851,"j","f","left","(148, 362)",130,0,481.551355864827,-115.321883152717,"1943.07",4,3,0,1
"pilot_12",23,"left","SHINEd_Ball_Bowling.jpg","congruent","m",683.625637,"j","f","left","(148, 362)",134,0,673.407840245568,76.5346012280237,"952.23",94,4,1,1
"pilot_12",31,"right","SHINEd_BasketballHoop.jpg","incongruent","m",675.02357,"f","f","left","(862, 362)",129,1,665.699132524644,68.8258935070998,"2477.23",221,3,0,1
"pilot_12",73,"left","SHINEd_Bathtub.jpg","congruent","m",593.424755,"f","f","left","(148, 362)",58,1,588.790453739793,-8.08278527775089,"883.64",223,3,1,1
"pilot_12",45,"left","SHINEd_BearPolar.jpg","incongruent","n",519.691962,"j","j","right","(148, 362)",386,1,511.930903263027,-84.9423357545171,"710.77",285,4,1,1
"pilot_12",144,"left","SHINEd_Beater_Electric.jpg","congruent","m",568.140448,"f","f","left","(148, 362)",42,1,571.434710341593,-25.4385286759509,"815.88",376,1,1,NA
"pilot_12",48,"right","SHINEd_Bells_Christmas.jpg","incongruent","m",921.146591,"f","f","left","(862, 362)",225,1,913.72054199268,316.847302975136,"1106.4",73,4,1,1
"pilot_12",125,"left","SHINEd_Bench_Black.jpg","congruent","m",495.52906,"f","f","left","(148, 362)",206,1,496.701594053787,-100.171644963757,"872.23",59,3,0,1
"pilot_12",50,"right","SHINEd_BicycleChain.jpg","incongruent","m",554.539547,"f","f","left","(862, 362)",17,1,547.336837812449,-49.5364012050946,"918.49",203,4,1,1
"pilot_12",207,"left","SHINEd_Bicycle_Kids.jpg","congruent","m",612.241364,"f","f","left","(148, 362)",26,1,622.570830664317,25.697591646773,"1110.47",218,3,0,1
"pilot_12",174,"right","SHINEd_Binder.jpg","incongruent","m",632.08425,"f","f","left","(862, 362)",65,1,638.728609638128,41.8553706205843,"1054.88",435,3,1,1
"pilot_12",222,"right","SHINEd_Bird_Eagle.jpg","congruent","n",563.863709,"j","j","right","(862, 362)",257,1,575.868224312584,-21.0050147049594,"775.74",363,4,1,1
"pilot_12",191,"right","SHINEd_Bird_Parrot.jpg","congruent","n",591.936747,"j","j","right","(862, 362)",233,1,600.479495106165,3.60625608862085,"1264.01",167,3,1,1
"pilot_12",18,"left","SHINEd_Bird_Pelican.jpg","incongruent","n",615.727838,"j","j","right","(148, 362)",402,1,604.951691696145,8.07845267860126,"1245.62",448,3,1,1
"pilot_12",88,"right","SHINEd_Bleachers.jpg","incongruent","m",576.649056,"f","f","left","(862, 362)",133,1,573.68980338806,-23.1834356294833,"977.81",61,4,1,1
"pilot_12",173,"left","SHINEd_Boardgame_Chess.jpg","congruent","m",572.974034,"f","f","left","(148, 362)",86,1,579.506723728244,-17.3665152893003,"856.25",431,3,1,1
"pilot_12",179,"right","SHINEd_Boat_Colourful.jpg","incongruent","m",555.691833,"f","f","left","(862, 362)",173,1,562.894542187551,-33.9786968299932,"1742.2",245,4,1,1
"pilot_12",137,"left","SHINEd_Boot_Rain.jpg","congruent","m",473.216171,"f","f","left","(148, 362)",150,1,475.728743972401,-121.144495045142,"935.57",62,4,1,1
"pilot_12",19,"right","SHINEd_Bottle_Beer.jpg","incongruent","m",666.833794,"f","f","left","(862, 362)",213,1,656.16931760603,59.2960785884858,"1967.7",215,3,0,1
