,Unnamed: 0,Unnamed: 0.1,participant,trial_index,max(RIGHT_FIX_INDEX),avg(RIGHT_IN_BLINK),avg(RIGHT_IN_SACCADE),avg(RIGHT_PUPIL_SIZE),max_pupil,Time,avg_preceding_pupil,avg_pupil,change_pupil,screenposition,stimulus,trialtype,classifyenc,rt,response,responsecorrect,responsecorrect_side,screenlocation,stimnum,acc,rtResidual,rtResidualC,rt_rec,trialno_rec,ratingConfidence,acc_rec,memoryHits.hc,pupil_deviation,rt_deviation
0,0,0,22,1,3,0.0,0.07848101265822785,2428.817088607595,2684.91404028199,2.0,,2639.6762680039483,,right,SHINEd_Hammer.jpg,incongruent,m,474.41371100000003,f,f,left,"(862, 362)",36,1,485.706681002007,-170.983954635161,997.89,390,4,1,1.0,995.7745174919845,-176.51648046491232
1,1,1,22,2,4,0.0,0.07896399241945673,2758.681617182565,2835.2004722136303,0.69,2589.8121046055553,2809.8491290068628,220.03702440130746,right,SHINEd_Lion.jpg,congruent,n,655.156558,j,j,right,"(862, 362)",316,1,666.349847826236,9.65921218906818,872.86,314,4,1,1.0,1165.9473784948989,4.226366535087664
2,2,2,22,3,3,0.0,0.07648546144121365,2717.730720606827,2832.91391139449,0.52,2678.7311462991242,2577.2676705575877,-101.46347574153653,left,SHINEd_LightBulb_White.jpg,congruent,m,492.40648200000004,f,f,left,"(148, 362)",47,1,503.50009165046487,-153.190543986703,1269.01,341,3,1,1.0,933.365920045624,-158.52370946491232
3,3,3,22,4,4,0.0,0.06941838649155722,2543.230769230769,2605.8206794873104,0.54,2727.632055825936,2567.401353851796,-160.23070197413972,left,SHINEd_Cauliflower.jpg,incongruent,n,640.433283,j,j,right,"(148, 362)",291,1,651.427212474693,-5.26342316247493,646.04,312,4,1,1.0,923.4996033398323,-10.496908464912394
4,4,4,22,5,3,0.0,0.038390092879256967,2671.943653250774,2801.92235978993,1.8,2601.310352001659,2728.857220119506,127.54686811784724,left,SHINEd_Stroller.jpg,congruent,m,755.375029,f,f,left,"(148, 362)",55,1,766.269278298922,109.578642661754,1992.3,20,4,1,1.0,1084.9554696075425,104.44483753508769
5,5,5,22,6,4,0.0,0.08978328173374613,2609.991331269349,2687.776549402,0.99,2623.895867311673,2470.50649193352,-153.3893753781531,right,SHINEd_LifeJacket_BlueYellow.jpg,incongruent,m,695.33005,f,f,left,"(862, 362)",16,1,706.1246191231502,49.433983485982104,1367.23,9,4,1,1.0,826.6047414215564,44.399858535087674
6,6,6,22,7,5,0.0,0.07054455445544554,2432.6992574257424,2584.10981161674,0.71,2642.5490601290658,2296.913734454681,-345.6353256743855,right,SHINEd_Cucumber.jpg,congruent,n,690.591896,j,j,right,"(862, 362)",364,1,701.286784947379,44.5961493102106,1184.78,43,4,1,1.0,653.0119839427175,39.661704535087665
7,7,7,22,8,3,0.0,0.07301980198019803,2263.762376237624,2356.30956238632,1.08,2489.7167287681914,2201.5632609407103,-288.1534678274811,left,SHINEd_mapleleaf.jpg,incongruent,n,686.2941099999998,j,j,right,"(148, 362)",335,1,696.889318771607,40.1986831344391,2454.06,179,4,1,1.0,557.6615104287466,35.363918535087464
8,8,8,22,9,4,0.0,0.09039190897597978,2085.0922882427312,2275.2107177862,2.0,2337.978429635623,2141.7544979418844,-196.22393169373845,right,SHINEd_Squash_Butternut.jpg,congruent,n,731.938231,j,j,right,"(862, 362)",444,1,742.433759595836,85.7431239586675,1279.01,296,2,0,0.0,497.8527474299208,81.00803953508762
9,9,9,22,10,4,0.0,0.04458204334365325,2253.5467492260063,2372.2286193972,0.65,2170.1505519855427,2213.165416035145,43.01486404960224,right,SHINEd_SpinningWheel.jpg,incongruent,m,550.246193,f,f,left,"(862, 362)",124,1,560.6420414200641,-96.048594217104,958.33,229,4,1,1.0,569.2636655231812,-100.6839984649124
