,Unnamed: 0,participant,trial_index,max(RIGHT_FIX_INDEX),avg(RIGHT_IN_BLINK),avg(RIGHT_IN_SACCADE),avg(RIGHT_PUPIL_SIZE),max_pupil,Time,avg_preceding_pupil,avg_pupil,change_pupil,screenposition,stimulus,trialtype,classifyenc,rt,response,responsecorrect,responsecorrect_side,screenlocation,stimnum,acc,rtResidual,rtResidualC,rt_rec,trialno_rec,ratingConfidence,acc_rec,memoryHits.hc,pupil_deviation
0,0,23,1,6,0.0,0.15599239061509196,1779.0329740012687,2030.7293702625304,1.38,,1922.7282464328787,,right,SHINEd_Chimpanzee.jpg,incongruent,n,937.501983,f,f,left,"(862, 362)",255,1,890.8921043109731,212.134584764244,1703.89,273,3,0,0.0,264.32569640233237
1,1,23,2,5,0.0,0.16361339229311433,1946.553379658876,2050.80393053531,1.21,1849.783302349933,1958.7641949115075,108.98089256157459,right,SHINEd_Razor.jpg,congruent,m,829.885985,j,j,right,"(862, 362)",119,1,783.679393984903,104.921874438174,4343.11,352,4,1,1.0,300.3616448809612
2,2,23,3,3,0.051407588739290085,0.14137086903304774,1850.3378212974292,2031.4002382434805,1.21,1905.4401178899127,1928.380538746765,22.94042085685237,right,SHINEd_KeyHook_Empty.jpg,congruent,m,912.980654,j,j,right,"(862, 362)",223,1,867.1773506588388,188.41983111211,1039.76,81,4,1,1.0,269.97798871621876
3,3,23,4,4,0.0,0.07745159275452843,1797.7189256714553,1908.6952053350888,1.29,1952.137566612606,1795.593141980531,-156.54442463207488,right,SHINEd_Flower_Daisy.jpg,incongruent,n,701.663859,f,f,left,"(862, 362)",351,1,656.263843332775,-22.493676213954398,735.22,163,4,1,1.0,137.19059194998476
4,4,23,5,4,0.0,0.08854489164086687,1822.833436532508,1925.4298333406305,1.21,1872.0343994367927,1790.6211021716074,-81.41329726518529,right,SHINEd_Toolbox_RedOpen.jpg,congruent,m,800.9817730000002,j,j,right,"(862, 362)",39,1,755.9850450067099,77.2275254599813,1454.37,434,4,1,1.0,132.21855214106108
5,5,23,6,3,0.0,0.057535959974984376,1774.4027517198251,1935.2664860811701,1.83,1804.0775684924688,1852.9663617919025,48.8887932994337,right,SHINEd_Seahorse.jpg,incongruent,n,660.790711,f,f,left,"(862, 362)",347,1,616.1972706806459,-62.560248866082894,1364.72,112,4,1,1.0,194.5638117613562
6,6,23,7,4,0.0,0.0891640866873065,1769.2501547987615,1821.4551353153306,0.5,1805.6434218031736,1705.6820230029998,-99.9613988001738,left,SHINEd_Dill.jpg,congruent,n,696.132007,f,f,left,"(148, 362)",256,1,651.941854354582,-26.8156651921471,2465.96,5,4,1,1.0,47.279472972453505
7,7,23,8,2,0.0,0.03712871287128714,1750.8793316831686,1815.31635494425,0.65,1775.867513892024,1701.676024936797,-74.19148895522699,left,SHINEd_Hammock.jpg,incongruent,m,675.772871,j,j,right,"(148, 362)",208,1,631.986006028518,-46.7715135182114,1480.65,88,4,1,1.0,43.27347490625061
8,8,23,9,3,0.0,0.05309734513274336,1750.8546144121365,1832.20784848854,1.22,1748.962260638979,1745.0980657669033,-3.8641948720755854,left,SHINEd_mint.jpg,congruent,n,680.11623,f,f,left,"(148, 362)",360,1,636.732652702453,-42.024866844275714,1318.93,159,4,1,1.0,86.69551573635704
9,9,23,10,5,0.0,0.11378002528445008,1699.8091024020227,1750.35799356419,1.24,1754.6964240674765,1672.2093102268445,-82.48711384063198,right,SHINEd_Ferret.jpg,incongruent,n,781.8875009999998,f,f,left,"(862, 362)",239,1,738.907211376389,60.14969182966021,2136.11,186,3,1,1.0,13.806760196298228
10,10,23,11,3,0.0,0.07585335018963338,1721.0739570164346,1883.95408674996,1.23,1730.0476884288898,1811.3466613068545,81.29897287796462,right,SHINEd_Staircase_Curving.jpg,congruent,m,705.767846,j,j,right,"(862, 362)",115,1,663.190844050325,-15.5666754964042,2040.66,354,4,1,1.0,152.94411127630815
11,11,23,12,3,0.0,0.0825515947467167,1803.000625390869,1904.49276874131,1.41,1713.7439423131866,1842.585559328121,128.8416170149344,right,SHINEd_feather.jpg,incongruent,n,,miss,f,left,"(862, 362)",415,0,,,1420.89,282,4,1,1.0,184.1830092975747
12,12,23,13,2,0.08533501896333755,0.11883691529709227,1722.857142857143,2041.7028062222696,1.84,1770.8469794196149,1943.051909047468,172.20492962785286,right,SHINEd_Box_GiftTopView.jpg,congruent,m,,miss,j,right,"(862, 362)",219,0,,,3243.5,410,4,1,1.0,284.6493590169216
13,13,23,14,4,0.0,0.11946902654867254,1853.858407079646,1898.7059110963696,0.5,1838.32023077311,1731.8491946284876,-106.47103614462252,left,SHINEd_Oneholepunch.jpg,incongruent,m,735.460035,j,j,right,"(148, 362)",76,1,694.0928960721318,15.335376525403099,862.48,223,4,1,1.0,73.44664459794126
14,14,23,15,3,0.0,0.06832694763729248,1730.1934865900382,1812.5276852273105,1.13,1859.7226526483328,1754.4529332227914,-105.26971942554178,right,SHINEd_Bus_School.jpg,congruent,m,796.6945099999998,j,j,right,"(862, 362)",171,1,755.730658746068,76.9731391993389,1029.28,320,4,1,1.0,96.05038319224514
15,15,23,16,3,0.0,0.11305434103685195,1705.6464709556528,1833.3931806254504,1.76,1776.678536620698,1707.5225304717096,-69.15600614898835,left,SHINEd_Card_TwoSpade.jpg,incongruent,m,729.478428,j,j,right,"(148, 362)",88,1,688.917864420004,10.1603448732746,1056.19,416,4,1,1.0,49.11998044116331
16,16,23,17,4,0.0,0.11694058154235144,1750.8843236409607,1833.0488293139608,0.89,1718.5183782260526,1663.725612870589,-54.79276535546365,right,SHINEd_MannequinBust.jpg,congruent,m,655.394829,j,j,right,"(862, 362)",103,1,615.237553093939,-63.5199664527896,1230.82,430,4,1,1.0,5.323062840042667
