,participant,trial_index,max(RIGHT_FIX_INDEX),avg(RIGHT_IN_BLINK),avg(RIGHT_IN_SACCADE),avg(RIGHT_PUPIL_SIZE),max_pupil,Time,avg_preceding_pupil,avg_pupil,change_pupil,screenposition,stimulus,trialtype,classifyenc,rt,response,responsecorrect,responsecorrect_side,screenlocation,stimnum,acc,rtResidual,rtResidualC,rt_rec,trialno_rec,ratingConfidence,acc_rec,memoryHits.hc
0,52,1,8,0.0,0.2378854625550661,1255.1623662680934,1183.78056288478,2.0,,1183.5606858496958,,left,SHINEd_hyena.jpg,incongruent,n,942.7649230000001,j,j,right,"(148, 362)",422,1,936.621467108603,304.01693181901,1383.89,202,3,0,0.0
1,52,2,7,0.0,0.17585139318885448,1213.8668730650156,1184.47902955119,1.11,1183.3811209000726,1175.4827809280932,-7.898339971979341,left,SHINEd_Clip_Paper.jpg,congruent,m,579.59884,f,f,left,"(148, 362)",66,1,573.508748771443,-59.0957865181496,1358.19,433,2,1,
2,52,3,6,0.0,0.16896120150187735,1227.0075093867333,1184.03071682024,1.47,1180.7810422030254,1165.7743170313336,-15.006725171691869,right,SHINEd_dinosaur fossil.jpg,congruent,n,559.801228,f,j,right,"(862, 362)",377,0,553.7645014342839,-78.84003385530859,1145.33,189,1,1,
3,52,4,6,0.0,0.2017710309930424,1129.2169512966475,1174.7959522664698,0.52,1180.7765208594424,1115.823238730137,-64.95328212930532,left,SHINEd_Goat.jpg,incongruent,n,747.948665,j,j,right,"(148, 362)",322,1,741.9653030971249,109.360767807532,1014.49,389,3,0,0.0
4,52,5,8,0.0,0.2521472392638037,1102.5441717791412,1173.09873167316,0.71,1153.1507702655915,1073.1410769258023,-80.00969333978924,left,SHINEd_Box_Notepaper.jpg,congruent,m,774.974515,f,f,left,"(148, 362)",70,1,769.044517759966,136.439982470373,1929.26,39,4,1,1.0
5,52,6,6,0.0,0.2231866088034718,1083.523868567886,1162.79829671816,0.63,1108.0995077954003,1040.1404266416193,-67.95908115378097,right,SHINEd_Kettle.jpg,incongruent,m,538.7135440000001,f,f,left,"(862, 362)",157,1,532.836911422807,-99.76762386678591,1414.42,197,4,1,1.0
6,52,7,6,0.009907120743034056,0.22105263157894736,1077.3826625386996,1182.62446774989,1.79,1090.196485555497,1150.2013357283895,60.004850172892475,right,SHINEd_artichoke.jpg,congruent,n,,miss,j,right,"(862, 362)",453,0,,,1021.32,331,2,0,0.0
7,52,8,6,0.0,0.17192331478045764,1120.3259121830554,1180.47992340125,2.0,1091.9249029962357,1105.9170574577886,13.992154461552902,right,SHINEd_MusicSheet.jpg,incongruent,m,912.806426,f,f,left,"(862, 362)",13,1,907.0365227484891,274.431987458896,1247.76,146,4,1,1.0
8,52,9,7,0.0,0.16844082654978085,1097.068252974327,1173.6798138853399,0.68,1112.1390741598489,1063.6041810428592,-48.53489311698968,left,SHINEd_Bugle.jpg,congruent,m,565.509641,f,f,left,"(148, 362)",14,1,559.79310241133,-72.81143287826309,1995.57,222,4,1,1.0
9,52,10,6,0.0,0.1539424280350438,1062.2559449311639,1077.83136450438,0.5,1101.987770736191,1039.7138646800747,-62.27390605611618,right,SHINEd_Escalator.jpg,incongruent,m,522.4328469999999,j,f,left,"(862, 362)",177,0,516.769673074171,-115.834862215422,996.7,83,4,1,1.0
10,52,11,7,0.0,0.2106567534076828,1077.599132589839,1137.1462845364301,0.83,1077.6857375502343,1058.831607404778,-18.854130145456335,right,SHINEd_Lychee.jpg,congruent,n,668.883818,j,j,right,"(862, 362)",321,1,663.274008737012,30.6694734474188,1271.22,326,4,1,1.0
11,52,12,6,0.0,0.1930379746835443,1002.1386075949367,1067.49081349086,0.5,1071.244481814085,985.0142345912046,-86.23024722288041,left,SHINEd_honeydew.jpg,incongruent,n,770.167575,j,j,right,"(148, 362)",330,1,764.6111303998531,132.00659511026,1464.34,104,4,1,1.0
12,52,13,7,0.0,0.19899874843554444,1026.2058823529412,1078.36496479953,0.6,1039.3780670398255,1023.8985247191553,-15.479542320670246,right,SHINEd_dragonfruit.jpg,congruent,n,861.6531789999999,j,j,right,"(862, 362)",437,1,856.150099062693,223.545563773101,1151.37,164,4,1,1.0
13,52,14,7,0.0,0.20458772473651585,1010.8146311221327,1067.3040458375801,0.51,1010.1506631866923,987.7502266974033,-22.400436489289064,left,SHINEd_Radish.jpg,incongruent,n,594.408585,j,j,right,"(148, 362)",242,1,588.958869725534,-43.6456655640584,1365.08,177,4,1,1.0
14,52,15,5,0.0,0.13622291021671826,977.9869969040249,1078.61342496525,1.86,1020.9414348281764,993.4772802760292,-27.464154552147193,left,SHINEd_PencilSharpener.jpg,congruent,m,644.582457,f,f,left,"(148, 362)",74,1,639.186106388375,6.58157109878246,2254.91,367,3,1,1.0
15,52,16,8,0.0,0.2233128834355828,1006.3588957055217,1073.2855902528802,0.64,990.2976881596612,969.7262435100666,-20.571444649594586,left,SHINEd_Fruit_Orange.jpg,incongruent,n,679.43649,j,j,right,"(148, 362)",302,1,674.093504051216,41.488968761623504,1695.76,80,4,1,1.0
16,52,17,5,0.0,0.11962616822429907,982.4897196261684,1016.4663229713699,0.65,990.1404368946803,977.330298438286,-12.81013845639427,right,SHINEd_soil.jpg,congruent,n,523.025954,f,j,right,"(862, 362)",289,0,517.736332714057,-114.868202575536,1117.07,91,4,1,1.0
17,52,18,6,0.0,0.16468378209142145,1033.4752661239825,1134.87615108502,1.3,990.9584554081979,1086.7508136370864,95.79235822888849,left,SHINEd_Bird_Pelican.jpg,incongruent,n,,miss,j,right,"(148, 362)",402,0,,,1289.02,448,4,1,1.0
18,52,19,5,0.0,0.13444857496902107,1063.5229244114003,1092.6132333195699,0.85,1012.558638741154,1030.20198142531,17.643342684155872,right,SHINEd_Bottle_Beer.jpg,incongruent,m,579.0216780000001,f,f,left,"(862, 362)",213,1,573.838786039739,-58.76574924985379,1045.65,215,3,0,0.0
19,52,20,6,0.0,0.16666666666666666,1047.3327137546466,1098.72982702188,0.79,1052.93122602345,1039.3386284728767,-13.592597550573373,right,SHINEd_Cloud.jpg,congruent,n,711.6911349999999,f,j,right,"(862, 362)",385,0,706.56160770258,73.9570724129872,1544.36,65,4,1,1.0
20,52,21,4,0.04643962848297214,0.16842105263157894,952.8105263157896,1035.54283053327,1.86,1051.3524067878143,992.2621037929688,-59.0903029948455,left,SHINEd_antlers.jpg,incongruent,n,529.969459,j,j,right,"(148, 362)",418,1,524.893296365421,-107.711238924172,1052.2,279,4,1,1.0
21,52,22,9,0.0,0.23908918406072105,1057.8734977862111,1162.98922560652,1.1,1029.773746331446,1109.1475366935697,79.3737903621236,left,SHINEd_Starfish.jpg,incongruent,n,,miss,j,right,"(148, 362)",378,0,,,1169.45,142,4,0,0.0
22,52,23,4,0.0,0.0777988614800759,1049.3320683111954,1104.55820115576,1.75,1034.3698621954884,1048.9261887723787,14.556326576890342,left,SHINEd_Ball_Bowling.jpg,congruent,m,731.497642,j,f,left,"(148, 362)",134,0,726.528208691103,93.92367340150992,1858.37,94,4,1,1.0
23,52,24,7,0.0,0.1927409261576971,1083.6451814768461,1140.68924181731,0.88,1057.8157145171824,1046.166599014751,-11.649115502431414,right,SHINEd_Knife_Camping.jpg,incongruent,m,512.457003,f,f,left,"(862, 362)",37,1,507.54093435394304,-125.06360093564899,663.22,266,3,0,0.0
24,52,25,6,0.0,0.17457305502846301,1021.707779886148,1082.90366122065,0.61,1061.7610632344479,1008.4629865207097,-53.298076713738176,left,SHINEd_CasketOpen.jpg,congruent,m,669.6090820000001,f,f,left,"(148, 362)",218,1,664.746378016784,32.1418427271917,3683.7,455,3,1,1.0
25,52,26,6,0.0,0.14041745730550284,1009.2852624920937,1083.66313088147,0.79,1051.424618960604,949.2161938300543,-102.2084251305497,right,SHINEd_Jetski.jpg,incongruent,m,665.37369,f,f,left,"(862, 362)",181,1,660.564350679625,27.959815390032702,1015.41,292,4,1,1.0
26,52,27,5,0.0,0.15253164556962026,988.1715189873418,1040.91322573042,0.89,1011.514879221608,999.9740249093946,-11.540854312213357,right,SHINEd_Tree_Fir.jpg,congruent,n,639.556377,j,j,right,"(862, 362)",229,1,634.800402342466,2.1958670528736297,1144.89,121,4,1,1.0
27,52,28,7,0.013915243516761544,0.22454142947501585,996.0183428209995,1095.06954680321,0.68,997.6034434275017,1000.73118774736,3.127744319858266,right,SHINEd_Elephant.jpg,congruent,n,532.3024280000001,j,j,right,"(862, 362)",349,1,527.599818005307,-105.004717284285,1193.48,155,4,1,1.0
28,52,29,6,0.0,0.13003095975232198,1007.8780185758513,1041.85235127322,0.51,1007.8443637186417,980.7907876048728,-27.05357611376894,right,SHINEd_Gum_Pack.jpg,incongruent,m,662.337714,f,f,left,"(862, 362)",77,1,657.688468668148,25.0839333785555,1368.59,409,4,1,1.0
29,52,30,6,0.0,0.10832811521603006,1004.6599874765184,1043.9098381697302,1.75,1012.8260017394203,1009.4438013143216,-3.3822004250987447,right,SHINEd_Leek.jpg,congruent,n,523.7884339999999,f,j,right,"(862, 362)",357,0,519.192553330989,-113.41198195860399,1800.98,297,2,1,
30,52,31,7,0.0,0.19442685243825208,1019.3464217859404,1076.17357972431,0.83,1006.9151489630806,987.895041035878,-19.020107927202613,right,SHINEd_BasketballHoop.jpg,incongruent,m,623.547645,f,f,left,"(862, 362)",129,1,619.00512899383,-13.599406295762698,1886.38,221,1,1,
31,52,32,5,0.0,0.13823715916296767,946.3830057070387,1006.5287459860301,1.71,1015.1329542929567,946.7444882212455,-68.38846607171115,left,SHINEd_volcano copy.jpg,incongruent,n,836.1560519999999,j,j,right,"(148, 362)",234,1,831.666900656671,199.06236536707803,2165.62,25,4,1,1.0
32,52,33,4,0.0,0.18722327640733716,993.7103099304237,1133.32252804744,1.92,979.7276589822902,1033.5162604043699,53.78860142207964,right,SHINEd_Pineapple.jpg,congruent,n,538.0846730000001,f,j,right,"(862, 362)",353,0,533.648886319512,-98.95564897008092,659.5,244,4,1,1.0
33,52,34,5,0.0,0.13149655604257984,1087.1490294301816,1112.3717413106401,0.53,970.5354763672432,1066.8073650791296,96.27188871188628,right,SHINEd_Gloves_WhiteKnit.jpg,incongruent,m,669.240593,f,f,left,"(862, 362)",197,1,664.8581709823529,32.2536356927601,946.05,138,4,1,1.0
34,52,35,5,0.0,0.14580725907384232,1035.877972465582,1066.24538319051,1.25,1048.9152550881606,1036.9963691874186,-11.918885900742,right,SHINEd_orchid.jpg,congruent,n,883.312834,f,j,right,"(862, 362)",261,0,878.983776645194,246.379241355601,1276.78,358,4,1,1.0
35,52,36,6,0.0,0.15269086357947434,1017.7953692115144,1051.18140803252,1.62,1061.9550929897819,1023.8304398625754,-38.124653127206436,left,SHINEd_SkullDeer.jpg,incongruent,n,511.33399699999995,j,j,right,"(148, 362)",278,1,507.05830430803496,-125.546230981558,2541.33,3,3,1,1.0
36,52,37,5,0.0,0.1295369211514393,1024.846057571965,1042.53231124532,0.68,1025.2860084609513,1012.8481414642894,-12.437866996661912,right,SHINEd_pickle.jpg,congruent,n,545.769444,j,j,right,"(862, 362)",373,1,541.547115970876,-91.0574193187171,1539.34,369,3,1,1.0
37,52,38,6,0.0,0.16708385481852314,1015.0719649561952,1077.32616416602,0.81,1018.3513102356404,989.40126152338,-28.950048712260237,right,SHINEd_Bowl_Wooden.jpg,incongruent,m,758.178105,f,f,left,"(862, 362)",141,1,754.009141633717,121.40460634412399,1135.11,82,4,1,1.0
38,52,39,5,0.0,0.13535736875395318,1011.0234029095508,1048.7384087411,1.02,1017.183770840168,1004.8607361594393,-12.323034680728712,right,SHINEd_Collards.jpg,congruent,n,772.3923179999999,j,j,right,"(862, 362)",445,1,768.2767192965581,135.672184006965,809.5,76,4,1,1.0
39,52,40,6,0.0,0.18080495356037152,998.7232198142416,1044.54713320569,0.73,1012.2800826303552,947.4556595498633,-64.8244230804919,right,SHINEd_Carabiner_Orange.jpg,incongruent,m,735.171646,f,f,left,"(862, 362)",29,1,731.109411959398,98.5048766698057,1655.04,89,4,1,1.0
40,52,41,6,0.0,0.15217391304347827,924.2148337595908,985.398100006682,1.73,1005.9042285503192,954.3906759174997,-51.51355263281948,left,SHINEd_accordion.jpg,congruent,m,772.076435,f,f,left,"(148, 362)",10,1,768.067565622239,135.463030332647,917.21,293,2,0,0.0
41,52,42,5,0.0,0.10373181530676788,959.7678684376976,995.273118098506,0.59,960.6209288987886,941.9262521947368,-18.694676704051854,right,SHINEd_Cabinet_Display.jpg,incongruent,m,522.682501,f,f,left,"(862, 362)",205,1,518.72699628508,-113.877539004512,981.26,272,4,1,1.0
42,52,43,5,0.0,0.1276864728192162,987.6434892541088,1041.7966685481,0.89,941.260221053206,984.4992050193466,43.238983966140616,right,SHINEd_mizuna.jpg,congruent,n,719.2845070000001,f,j,right,"(862, 362)",429,0,715.382366947921,82.77783165832841,926.94,345,3,1,1.0
