,Unnamed: 0,Unnamed: 0.1,participant,trial_index,max(RIGHT_FIX_INDEX),avg(RIGHT_IN_BLINK),avg(RIGHT_IN_SACCADE),avg(RIGHT_PUPIL_SIZE),max_pupil,Time,avg_preceding_pupil,avg_pupil,change_pupil,screenposition,stimulus,trialtype,classifyenc,rt,response,responsecorrect,responsecorrect_side,screenlocation,stimnum,acc,rtResidual,rtResidualC,rt_rec,trialno_rec,ratingConfidence,acc_rec,memoryHits.hc,pupil_deviation,pupil_deviation_percentage,rt_deviation,rt_deviation_percentage
0,0,0,54,1,5,0.0,0.13455464308275428,1755.5211623499686,2000.1585514693693,1.38,,1879.3700041514426,,right,SHINEd_Hammer.jpg,incongruent,m,880.7027619999999,f,f,left,"(862, 362)",36,1,834.848344098193,171.017008295502,550.47,389,4,1,1.0,314.2316697324725,0.2007692628965768,231.4291309298245,0.35644313869387834
1,1,1,54,2,6,0.0,0.17034313725490194,1714.3241421568628,1810.98534725903,1.21,1781.1277756130387,1718.4504250590485,-62.67735055399021,right,SHINEd_Lion.jpg,congruent,n,,miss,j,right,"(862, 362)",316,0,,,1012.92,314,2,1,,153.31209064007842,0.09795433877542384,,
2,2,2,54,3,4,0.0,0.10594795539033457,1851.1685254027261,2000.5732800257501,1.2,1738.8729954614694,1747.2542551392453,8.381259677775915,left,SHINEd_LightBulb_White.jpg,congruent,m,558.943433,j,f,left,"(148, 362)",47,0,513.891867937833,-149.939467864858,1944.23,341,3,0,0.0,182.1159207202752,0.1163577152992566,-90.33019807017536,-0.13912500638796496
3,3,3,54,4,5,0.0,0.14922600619195048,1711.3820433436533,1943.020540614789,1.32,1754.5024692620816,1860.2532924836976,105.75082322161622,left,SHINEd_Cauliflower.jpg,incongruent,n,746.840374,f,j,right,"(148, 362)",291,0,702.1902353576538,38.358899554963,741.04,312,4,1,1.0,295.1149580647275,0.18855519130472492,97.56674292982461,0.15027060743096668
4,4,4,54,5,5,0.0,0.17967781908302355,1764.3228004956632,1850.2884112068,1.9,1782.8772022142136,1726.6923338189329,-56.18486839528077,left,SHINEd_Stroller.jpg,congruent,m,870.8855279999997,j,f,left,"(148, 362)",55,0,826.636815777475,162.805479974784,1854.73,20,3,1,1.0,161.55399939996278,0.1032202686799163,221.6118969298243,0.3413228049390348
5,5,5,54,6,6,0.0,0.27306501547987616,1785.043962848297,1850.02690725452,0.97,1752.0222583477753,1778.6673219885065,26.64506364073123,right,SHINEd_LifeJacket_BlueYellow.jpg,incongruent,m,731.047719,f,f,left,"(862, 362)",16,1,687.200433197296,23.3690973946053,1270.31,9,4,1,1.0,213.5289875695364,0.1364281884059822,81.77408792982465,0.1259470337568449
6,6,6,54,7,6,0.0,0.1332920024798512,1782.6497210167388,1911.61507928013,1.17,1774.3901093678921,1768.9351249699514,-5.454984397940733,right,SHINEd_Cucumber.jpg,congruent,n,861.669874,j,j,right,"(862, 362)",364,1,818.224014617117,154.392678814426,720.54,43,4,1,1.0,203.79679055098134,0.1302100817987039,212.39624292982467,0.3271290142797564
7,7,7,54,8,4,0.0,0.0655534941249227,1734.6277056277054,1906.05665994409,1.11,1788.429286958867,1693.4302198243024,-94.99906713456447,left,SHINEd_mapleleaf.jpg,incongruent,n,752.477481,j,j,right,"(148, 362)",335,1,709.433048036938,45.6017122342475,684.87,179,4,1,1.0,128.29188540533232,0.08196840022639815,103.20384992982463,0.1589527819876456
8,8,8,54,9,5,0.0,0.1021671826625387,1687.8222910216718,1971.6628359487,1.37,1751.7990974564539,1880.1979103152576,128.39881285880392,right,SHINEd_Squash_Butternut.jpg,congruent,n,964.0448119999999,j,j,right,"(862, 362)",444,1,921.401805456759,257.570469654069,950.18,296,4,1,1.0,315.0595758962875,0.20129822966303346,314.7711809298245,0.48480512047131497
9,9,9,54,10,7,0.0,0.17472118959107807,1817.7980173482035,1893.30576986917,1.1,1717.4101842330954,1711.2264946812745,-6.183689551820862,right,SHINEd_SpinningWheel.jpg,incongruent,m,599.51936,f,f,left,"(862, 362)",124,1,557.27777987658,-106.55355592611001,900.66,229,3,0,0.0,146.08816026230443,0.09333881679956237,-49.75427107017538,-0.07663066646980123
10,10,10,54,11,6,0.0,0.14312267657992564,1572.1685254027261,1817.46976438288,1.35,1768.6347067896133,1711.1116523026249,-57.5230544869885,left,SHINEd_MannequinBust.jpg,congruent,m,946.6733380000001,f,f,left,"(148, 362)",103,1,904.8331842964012,241.001848493711,2925.83,2,4,0,0.0,145.97331788365474,0.09326544157379213,297.3997069298247,0.4580498771213471
11,11,11,54,12,6,0.0,0.16656346749226006,1672.7065015479873,1765.70674690417,0.8,1677.0418736543204,1546.4147506941724,-130.62712296014774,left,SHINEd_aloe.jpg,incongruent,n,590.5428860000002,j,j,right,"(148, 362)",299,1,549.104158716223,-114.72717708646799,1213.28,83,4,1,1.0,-18.723583724797663,-0.011962893830562564,-58.7307450701752,-0.09045607623610301
12,12,12,54,13,4,0.0,0.09142141515341264,1635.5691922354415,1837.2018868722198,1.37,1619.9435605036151,1723.879118352179,103.9355578485638,right,SHINEd_Hand.jpg,congruent,n,580.1174679999998,f,j,right,"(862, 362)",284,0,539.080167136044,-124.75116866664699,1694.46,73,4,1,1.0,158.74078393320886,0.10142284579090484,-69.15616307017558,-0.10651312445291804
13,13,13,54,14,5,0.0,0.12693498452012386,1619.1696594427247,1785.26037693893,1.39,1648.7331014957892,1688.9537774161329,40.220675920343645,right,SHINEd_EspressoMachine.jpg,incongruent,m,958.6969710000001,f,f,left,"(862, 362)",156,1,918.061096555865,254.22976075317402,533.43,431,2,1,,123.8154429971628,0.07910830645083336,309.4233399298247,0.4765684683972347
14,14,14,54,15,6,0.0,0.18575851393188847,1718.8990712074303,1869.67214261276,1.35,1643.2495751159875,1737.17588638815,93.9263112721626,right,SHINEd_blueberries.jpg,congruent,n,786.942264,j,j,right,"(862, 362)",232,1,746.707815975686,82.8764801729954,710.34,375,3,0,0.0,172.03755196917996,0.10991843224710604,137.66863292982464,0.21203484377289458
15,15,15,54,16,6,0.0,0.1691449814126394,1643.281288723668,1822.20599178566,1.43,1671.1356138511794,1710.8735303673275,39.73791651614806,right,SHINEd_Lock_Combination.jpg,incongruent,m,,miss,f,left,"(862, 362)",64,0,,,516.87,421,4,1,1.0,145.73519594835741,0.093113300430699,,
16,16,16,54,17,4,0.0,0.10663360198388096,1749.0756354618725,1879.9002734643,1.04,1682.518348412896,1695.0159744423045,12.497626029408364,right,SHINEd_Ginger.jpg,congruent,n,688.868672,j,j,right,"(862, 362)",236,1,649.4370768153279,-14.394258987362402,1276.98,152,4,0,0.0,129.87764002333438,0.08298157240621748,39.59504092982456,0.0609835961835712
17,17,17,54,18,5,0.0,0.11694809255784865,1694.8136335209506,1922.8403202067104,1.27,1696.1829065629956,1796.0649606828006,99.88205411980516,left,SHINEd_Fish_Swordfish.jpg,incongruent,n,708.889643,f,j,right,"(148, 362)",331,0,669.859474235149,6.02813843245878,990.5,234,4,1,1.0,230.92662626383046,0.14754390789971794,59.616011929824595,0.09181954891893819
