,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,participant,trial_index,max(RIGHT_FIX_INDEX),avg(RIGHT_IN_BLINK),avg(RIGHT_IN_SACCADE),avg(RIGHT_PUPIL_SIZE),max_pupil,Time,avg_preceding_pupil,avg_pupil,change_pupil,screenposition,stimulus,trialtype,classifyenc,rt,response,responsecorrect,responsecorrect_side,screenlocation,stimnum,acc,rtResidual,rtResidualC,rt_rec,trialno_rec,ratingConfidence,acc_rec,memoryHits.hc,pupil_deviation,rt_deviation
0,0,0,0,0,1,1,4,0.0,0.07440100882723834,836.9161412358135,1013.29288203025,1.19,,863.6177292135635,,right,SHINEd_greenapple.jpg,incongruent,n,783.464615,f,f,left,"(862, 362)",410,1,805.649114443846,217.97501750240397,5038.71,68,2,0,0.0,167.36975926174625,211.25562587280706
1,1,1,1,1,1,2,5,0.0,0.11307643714466205,839.811749842072,1033.80944786839,1.19,910.40061095746,831.7663224329764,-78.63428852448362,left,SHINEd_cheetah.jpg,congruent,n,594.714525,f,f,left,"(148, 362)",245,1,616.702427147273,29.0283302058319,1470.05,199,2,0,0.0,135.51835248115913,22.50553587280706
2,2,2,2,2,1,3,4,0.0,0.07942464040025016,775.5578486554097,889.3313147106793,1.27,872.0692608768062,775.2959685556517,-96.77329232115449,left,SHINEd_Giraffe.jpg,congruent,n,527.060694,f,f,left,"(148, 362)",381,1,548.851998850697,-38.8220980907443,5217.08,236,2,0,0.0,79.04799860383446,-45.14829512719291
3,3,3,3,3,1,4,5,0.0,0.09293680297397768,772.1710037174721,921.330860091685,1.39,808.3761101827935,816.1007200911888,7.724609908395338,right,SHINEd_raccoon.jpg,incongruent,n,426.532232,f,f,left,"(862, 362)",262,1,448.126939554121,-139.547157387321,3535.96,26,3,1,1.0,119.85275013937157,-145.6767571271929
4,4,4,4,4,1,5,5,0.013480392156862746,0.15992647058823528,785.4742647058823,939.9283174081688,0.95,779.8728168495319,747.7356575839391,-32.1371592655928,right,SHINEd_airpump.jpg,congruent,m,478.39988700000004,j,j,right,"(862, 362)",114,1,499.797997257544,-87.8760996838971,1940.12,102,2,1,,51.48768763212183,-93.80910212719293
5,5,5,5,5,1,6,5,0.0,0.11564625850340135,823.3679653679652,1005.18079952795,1.18,794.0422852326683,822.9400580049735,28.897772772305192,right,SHINEd_BearPolar.jpg,incongruent,n,672.78546,f,f,left,"(862, 362)",386,1,693.986972960968,106.312876019526,1254.88,438,2,0,0.0,126.69208805315624,100.57647087280701
6,6,6,6,6,1,7,4,0.03375,0.141875,724.254375,839.2576094973558,0.97,819.9459292030876,738.6320748912985,-81.31385431178909,right,SHINEd_ClothCoaster.jpg,congruent,m,509.37878,j,j,right,"(862, 362)",142,1,530.383695664392,-57.290401277049796,1384.26,222,4,1,1.0,42.38410493948129,-62.83020912719293
7,7,7,7,7,1,8,4,0.04298356510745891,0.16561314791403287,703.2458912768648,851.204776536046,1.1,801.7018152575337,783.2376403898779,-18.464174867655746,left,SHINEd_Vase_Decorative copy.jpg,incongruent,m,554.7411490000002,j,j,right,"(148, 362)",221,1,575.549467367815,-12.1246295736262,1111.02,403,2,1,,86.98967043806067,-17.467840127192744
8,8,8,8,8,1,9,5,0.04150702426564496,0.16794380587484034,754.9636015325667,856.6945136897099,0.91,755.8322789428921,746.6399823590973,-9.192296583794814,right,SHINEd_accordion.jpg,congruent,m,448.89159800000004,j,j,right,"(862, 362)",10,1,469.503319071239,-118.170777870203,1173.13,413,3,1,1.0,50.392012407280035,-123.31739112719292
9,9,9,9,9,1,10,4,0.05625790139064475,0.1845764854614412,723.4633375474084,846.938101246221,0.99,777.322132269003,750.2632655844072,-27.05886668459573,left,SHINEd_Camera_Video.jpg,incongruent,m,374.036526,j,j,right,"(148, 362)",97,1,394.451649774663,-193.22244716677898,2621.86,14,2,0,0.0,54.01529563258998,-198.1724631271929
