,Subject,Trial,Time,percentageSize
0,1,1,-3.0,
1,1,1,-2.99,
2,1,1,-2.98,
3,1,1,-2.97,
4,1,1,-2.96,
5,1,1,-2.95,
6,1,1,-2.94,
7,1,1,-2.93,
8,1,1,-2.92,
9,1,1,-2.91,
10,1,1,-2.9,
11,1,1,-2.89,
12,1,1,-2.88,
13,1,1,-2.87,
14,1,1,-2.86,
15,1,1,-2.85,
16,1,1,-2.84,
17,1,1,-2.83,
18,1,1,-2.82,
19,1,1,-2.81,
20,1,1,-2.8,
21,1,1,-2.79,
22,1,1,-2.78,
23,1,1,-2.77,
24,1,1,-2.76,
25,1,1,-2.75,
26,1,1,-2.74,
27,1,1,-2.73,
28,1,1,-2.72,
29,1,1,-2.71,
30,1,1,-2.7,
31,1,1,-2.69,
32,1,1,-2.68,
33,1,1,-2.67,
34,1,1,-2.66,
35,1,1,-2.65,
36,1,1,-2.64,
37,1,1,-2.63,
38,1,1,-2.62,
39,1,1,-2.61,
40,1,1,-2.6,
41,1,1,-2.59,
42,1,1,-2.58,
43,1,1,-2.57,
44,1,1,-2.56,
45,1,1,-2.55,
46,1,1,-2.54,
47,1,1,-2.53,
48,1,1,-2.52,
49,1,1,-2.51,
50,1,1,-2.5,
51,1,1,-2.49,
52,1,1,-2.48,
53,1,1,-2.47,
54,1,1,-2.46,
55,1,1,-2.45,
56,1,1,-2.44,
57,1,1,-2.43,
58,1,1,-2.42,
59,1,1,-2.41,
60,1,1,-2.4,
61,1,1,-2.39,
62,1,1,-2.38,
63,1,1,-2.37,
64,1,1,-2.36,
65,1,1,-2.35,
66,1,1,-2.34,
67,1,1,-2.33,
68,1,1,-2.32,
69,1,1,-2.31,
70,1,1,-2.3,
71,1,1,-2.29,
72,1,1,-2.28,
73,1,1,-2.27,
74,1,1,-2.26,
75,1,1,-2.25,
76,1,1,-2.24,
77,1,1,-2.23,
78,1,1,-2.22,
79,1,1,-2.21,
80,1,1,-2.2,
81,1,1,-2.19,
82,1,1,-2.18,
83,1,1,-2.17,
84,1,1,-2.16,
85,1,1,-2.15,
86,1,1,-2.14,
87,1,1,-2.13,
88,1,1,-2.12,
89,1,1,-2.11,
90,1,1,-2.1,
91,1,1,-2.09,
92,1,1,-2.08,
93,1,1,-2.07,
94,1,1,-2.06,
95,1,1,-2.05,
96,1,1,-2.04,
97,1,1,-2.03,
98,1,1,-2.02,
99,1,1,-2.01,
100,1,1,-2.0,
101,1,1,-1.99,
102,1,1,-1.98,
103,1,1,-1.97,
104,1,1,-1.96,
105,1,1,-1.95,
106,1,1,-1.94,
107,1,1,-1.93,
108,1,1,-1.92,
109,1,1,-1.91,
110,1,1,-1.9,
111,1,1,-1.89,
112,1,1,-1.88,
113,1,1,-1.87,
114,1,1,-1.86,
115,1,1,-1.85,
116,1,1,-1.84,
117,1,1,-1.83,
118,1,1,-1.82,
119,1,1,-1.81,
120,1,1,-1.8,
121,1,1,-1.79,
122,1,1,-1.78,
123,1,1,-1.77,
124,1,1,-1.76,
125,1,1,-1.75,
126,1,1,-1.74,
127,1,1,-1.73,
128,1,1,-1.72,
129,1,1,-1.71,
130,1,1,-1.7,
131,1,1,-1.69,
132,1,1,-1.68,
133,1,1,-1.67,
134,1,1,-1.66,
135,1,1,-1.65,
136,1,1,-1.64,
137,1,1,-1.63,
138,1,1,-1.62,
139,1,1,-1.61,
140,1,1,-1.6,
141,1,1,-1.59,
142,1,1,-1.58,
143,1,1,-1.57,
144,1,1,-1.56,
145,1,1,-1.55,
146,1,1,-1.54,
147,1,1,-1.53,
148,1,1,-1.52,
149,1,1,-1.51,
150,1,1,-1.5,
151,1,1,-1.49,
152,1,1,-1.48,
153,1,1,-1.47,
154,1,1,-1.46,
155,1,1,-1.45,
156,1,1,-1.44,
157,1,1,-1.43,
158,1,1,-1.42,
159,1,1,-1.41,
