,participant,Trial,max_pupil,Time,avg_preceding_pupil,avg_pupil,change_pupil
0,1,1,1013.29288203025,1.19,,863.6177292135635,
1,1,2,1033.80944786839,1.19,910.40061095746,831.7663224329764,-78.63428852448362
2,1,3,889.3313147106792,1.27,872.0692608768062,775.2959685556517,-96.77329232115449
3,1,4,921.330860091685,1.39,808.3761101827935,816.1007200911888,7.724609908395337
4,1,5,939.9283174081688,0.95,779.8728168495319,747.7356575839391,-32.1371592655928
5,1,6,1005.18079952795,1.18,794.0422852326683,822.9400580049735,28.89777277230519
6,1,7,839.2576094973558,0.97,819.9459292030876,738.6320748912985,-81.3138543117891
7,1,8,851.204776536046,1.1,801.7018152575337,783.2376403898779,-18.464174867655743
8,1,9,856.6945136897099,0.91,755.8322789428921,746.6399823590973,-9.192296583794814
9,1,10,846.938101246221,0.99,777.322132269003,750.2632655844072,-27.058866684595728
10,1,11,943.3255881605741,1.19,784.7317187838707,789.6960025168464,4.964283732975673
11,1,12,903.720165883596,1.11,784.804754072426,803.3380584910864,18.53330441866035
12,1,13,908.548517656792,1.01,782.9974778256079,788.0688767771035,5.071398951495553
13,1,14,830.168204824326,1.42,801.307609434093,794.0231889808992,-7.284420453193775
14,1,15,873.78748564011,1.07,803.8333051007685,792.2615681922806,-11.571736908487878
15,1,16,920.323739136111,0.96,795.0917275899254,777.3240591920908,-17.767668397834655
16,1,17,860.9233436734538,1.04,808.9946627178862,757.3999149637822,-51.59474775410399
17,1,18,875.965289672072,1.05,788.5382582590289,777.0010233067813,-11.537234952247559
18,1,19,909.4268167806032,1.29,773.6417153761221,836.27087507582,62.62915969969788
19,1,20,861.438571968664,0.9,811.6015869944355,757.5285179519483,-54.07306904248719
20,1,21,894.721149532274,1.37,816.7639279359657,798.988507426286,-17.775420509679748
21,1,22,859.328292395052,1.01,793.1543443695548,735.4316150906392,-57.72272927891561
22,1,23,941.567258938338,1.26,780.5382664831342,836.9126645277616,56.37439804462747
23,1,24,952.972850260589,1.26,778.0563324214064,853.526513286651,75.47018086524463
24,1,25,838.3334369351089,1.12,828.087187099314,784.1002153478033,-43.98697175151062
25,1,26,873.594382485089,1.04,821.3307911418584,779.9760616894326,-41.35472945242577
26,1,27,852.239921214991,0.89,787.3313025099484,700.3649781690011,-86.96632434094727
27,1,28,936.6118902795461,1.33,767.4278273180089,850.0177836210976,82.58995630308868
28,1,29,801.626748680367,0.5,778.5636666301823,733.6554968417067,-44.90816978847556
29,1,30,914.271195995575,1.07,799.8690799248143,852.5930934930142,52.724013568199894
30,1,31,825.680775567969,0.83,798.1997861760341,769.7515898463338,-28.448196329700295
31,1,32,881.7010185109268,1.04,818.6094421991305,823.0723468989785,4.462904699847968
32,1,33,859.775411972854,0.93,799.8792513745717,739.6079924160829,-60.27125895848883
33,1,34,855.561086447528,0.99,797.6403184683968,791.4653749079519,-6.1749435604449445
34,1,35,918.600352079867,1.07,773.7750710735512,790.2995892614701,16.524518187918943
35,1,36,894.0986043129152,0.81,800.3629887338616,781.7825147144953,-18.580474019366306
36,1,37,908.5516857766941,1.09,822.0567989097821,834.6176605303987,12.560861620616606
37,1,38,833.710507842862,1.2,808.883002510984,780.7487509764395,-28.134251534544546
38,1,39,879.6739878777071,0.85,803.4768961843669,776.991650784643,-26.485245399723908
39,1,40,911.63292668018,1.26,804.4625166694397,830.7211589489798,26.25864227954014
40,1,41,891.926985318761,1.08,798.8013306026056,846.5003649369124,47.699034334306816
41,1,42,964.376375902688,0.77,814.6761700232378,745.3389005950577,-69.3372694281801
42,1,43,892.956153320953,1.04,841.2475998377244,826.7647008903764,-14.482898947347962
43,1,44,854.073374452947,1.39,824.8719586004851,798.9971245666541,-25.874834033831007
44,1,45,791.8379487179491,0.5,807.1876320940488,755.7086426960875,-51.4789893979613
45,1,46,956.585505039184,1.26,788.7490308426462,890.9638269559872,102.21479611334098
46,1,47,914.8159896423241,0.95,811.6302824208102,870.8257791517848,59.19549673097458
47,1,48,943.894291921345,1.04,866.6232163745829,866.031389648619,-0.5918267259638696
48,1,49,904.849050854703,1.13,881.4838627754132,796.8111747074527,-84.67268806796051
49,1,50,954.5935153939861,1.34,872.109166380648,816.5128845870296,-55.59628179361846
50,1,51,847.654225518736,1.11,823.770939058241,761.9637996391043,-61.80713941913666
51,1,52,920.3833586934752,1.28,783.0159839488189,856.9368129377198,73.9208289889009
52,1,53,968.052215726975,0.99,803.6645384482207,844.8352316026281,41.170693154407445
53,1,54,907.983160868161,0.99,855.7905394633854,759.331285168475,-96.45925429491035
54,1,55,875.777992618807,1.29,841.4226259281236,785.4712277384613,-55.951398189662314
55,1,56,864.827137666599,1.22,799.7818313453885,754.3408645038533,-45.440966841535214
56,1,57,866.128411384425,1.25,773.3314181972486,786.5620069640178,13.230588766769188
57,1,58,855.9418561210001,1.13,745.4905298485547,764.2617735623886,18.771243713833883
58,1,59,871.5699254345178,1.34,769.1242406295786,811.3135405319583,42.18929990237973
59,1,60,937.938787999871,1.29,782.1685128293224,848.7140847020572,66.54557187273485
60,1,61,801.3680595819452,1.85,813.6394572794493,750.100608669218,-63.5388486102313
61,1,62,897.635718909831,1.09,811.6138555605772,846.8477337222613,35.23387816168406
62,1,63,891.833279850967,1.31,792.4274058773246,794.010532100167,1.5831262228423384
63,1,64,917.608041336178,1.37,807.8305689826002,818.0827960334758,10.252227050875604
64,1,65,825.170975977796,0.97,796.7918393331134,731.7540477292372,-65.03779160387626
65,1,66,970.23413030554,1.32,788.5307446454381,852.5505472771242,64.01980263168616
66,1,67,911.8676306127521,1.31,807.4305216696242,790.2659121481054,-17.164609521518855
67,1,68,906.453338495042,1.25,809.8737340760324,827.7626636307679,17.888929554735455
68,1,69,898.720587258689,0.9,791.0185147307558,724.8339683967274,-66.18454633402837
69,1,70,845.7732298801968,1.5,806.458592256159,785.4405563023804,-21.01803595377862
70,1,71,803.3050825491008,1.05,779.8778875733293,699.8806474089051,-79.99724016442417
71,1,72,779.8943865733362,1.84,764.7878522840183,720.7704323992627,-44.017419884755554
72,1,73,866.536233119997,1.3,711.7541214750029,799.9688079887562,88.21468651375335
73,1,74,886.8099478164861,0.95,735.4243563880988,817.6051234307987,82.18076704269993
74,1,75,786.042883356393,1.98,801.5104712821616,755.5325369324112,-45.9779343497504
75,1,76,805.102781229593,0.52,790.0371382407459,701.5282915224639,-88.50884671828203
76,1,77,762.5905332997279,1.09,754.8377824716356,662.6686344599401,-92.16914801169548
77,1,78,881.712173619613,1.31,735.3031428265343,755.0017470079897,19.69860418145538
78,1,79,915.407085832129,1.16,714.3704512635758,791.1769961762178,76.80654491264204
79,1,80,870.062963821913,1.04,745.5687589733568,851.7174789499968,106.14871997664
80,1,81,958.532306414245,1.2,797.667541752031,885.1595188119808,87.49197705994982
81,1,82,947.692469944561,1.01,858.1443636259454,747.2311920063637,-110.9131716195817
82,1,83,860.533354971297,1.0,868.794237567698,819.1162592818414,-49.677978285856625
83,1,84,856.2148860685651,0.96,810.635138540027,729.6521956750114,-80.98294286501562
84,1,85,954.638496586033,1.11,778.0051824378166,768.3491256573544,-9.656056780462222
85,1,86,879.3980659094542,1.32,777.7471827954982,811.2772093737294,33.53002657823117
86,1,87,836.620809720847,1.12,794.9384915901053,766.9930075526546,-27.945484037450683
87,1,88,871.338965412603,1.31,785.4892628752519,807.1357145456677,21.646451670415786
88,1,89,790.710106671992,1.5,793.8281938922584,750.888813507273,-42.939380384985384
89,1,90,819.718360539566,0.89,780.2089246982943,603.3876625978243,-176.82126210047
90,1,91,780.7395359263188,1.11,700.6594936406458,695.0987262016322,-5.560767439013603
91,1,92,871.590000949592,0.95,687.6969380570889,729.7293031903325,42.032365133243616
92,1,93,878.4241852152901,1.37,743.9097942910154,832.6864613754938,88.77666708447839
93,1,94,882.215402538204,0.77,783.9157532908803,756.820714157377,-27.095039133503292
94,1,95,905.5653501669792,1.98,811.6252166501912,806.4896599050142,-5.135556745177041
95,1,96,906.6883950964921,0.5,783.6615685027614,807.1907446194458,23.529176116684425
96,1,97,826.58094103771,0.93,809.7784499169476,688.9735286377693,-120.8049212791783
97,1,98,905.5276814563632,1.08,798.5629665546298,795.2184498911487,-3.3445166634811585
98,1,99,871.894338382133,0.89,777.2996345051231,665.1976317883863,-112.10200271673682
99,1,100,897.3127758677168,1.0,785.2853844585637,779.0976517295314,-6.187732729032291
100,1,101,719.82,2.0,758.3739309898073,695.1080935818499,-63.265837407957406
101,1,102,774.250685197301,1.02,738.0045722114453,667.7875990615073,-70.21697314993798
102,1,103,853.8676999581488,0.96,690.1070604234619,709.8811505020677,19.77409007860581
103,1,104,770.3067719301781,1.38,734.1316023386051,643.7082833723501,-90.42331896625501
104,1,105,695.509244346668,2.0,686.552323567185,623.5183290839241,-63.033994483260926
105,1,106,691.36855029585,0.66,594.0369911598445,598.9013339235513,4.864342763706759
106,1,107,713.6496536843903,1.78,614.5657594929136,604.9806280958583,-9.585131397055306
107,1,108,826.0692507865691,1.36,599.9200256495449,755.0259792912321,155.10595364168728
108,1,109,738.1628046276579,0.76,654.7821620458433,614.6198719391426,-40.16229010670065
109,1,110,890.087621461788,1.49,713.1839364936783,810.938250871125,97.75431437744669
110,1,111,867.10933519285,0.96,707.5902398896967,783.0016265632936,75.4113866735969
111,1,112,822.840832815186,0.94,781.6423034872059,687.3276253379096,-94.31467814929636
112,1,113,572.7820882608339,1.31,778.714677880042,479.12267059843765,-299.59200728160437
113,1,114,656.970704030854,1.11,617.6694965600836,536.5272095719918,-81.14228698809188
114,1,115,829.091902897397,1.87,486.7795999334565,636.4598228012803,149.68022286782383
115,1,116,802.6416359916251,1.59,550.6313930128504,736.1089383690883,185.4775453562379
116,1,117,676.228449333625,1.07,671.8011641941638,634.8367707529712,-36.964393441192556
117,1,118,719.762140601273,1.81,688.9822404950925,636.0455687164738,-52.93667177861869
118,1,119,771.420014794897,1.09,621.635297245781,718.8638470855502,97.22854983976924
119,1,120,836.365846830879,0.99,661.829685575667,652.1805062753434,-9.649179300323567
120,1,121,828.8695261222321,1.11,713.9546322432602,709.9983640370659,-3.956268206194295
121,1,122,761.735591522177,1.74,731.4293298145423,670.1692004969852,-61.260129317557016
122,1,123,728.7292944216949,0.9,677.168090639828,602.5628065540617,-74.60528408576636
123,1,124,708.220462663445,0.61,609.471178890093,464.9151663752796,-144.5560125148134
124,1,125,745.510851339462,1.89,581.7279639604151,578.9070279424333,-2.8209360179818077
125,1,126,727.4242661553868,0.5,529.7481823380255,549.9306835680368,20.182501230011326
126,1,127,630.598191377248,0.92,570.4316384824265,528.7574798315824,-41.674158650844106
127,1,128,700.598512287935,1.39,577.6413516004409,606.2173430458972,28.57599144545634
128,1,129,619.176014727762,1.38,539.059649333963,536.7917834386499,-2.2678658953130935
129,1,130,630.574616551885,1.34,572.8090228649577,583.3963929668192,10.587370101861552
